Date,Open,High,Low,Close,Adj Close,Volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
2016-01-06,25.139999,25.592501000000002,24.967501000000002,25.174999,23.323915,273829600,,25.174999,25.174999,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2016-01-07,24.67,25.032498999999998,24.1075,24.112499,22.339539000000002,324377600,-0.04220456970028086,24.60698441603294,24.64006671457526,0.0,-1.0,-1.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2016-01-08,24.637501,24.7775,24.190001000000002,24.24,22.457672,283192000,0.00528775553292915,24.467362143602053,24.50485823029313,0.0,-1.0,-1.0,0.033582145226719776,0.033582145226719776,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2016-01-11,24.7425,24.764999,24.334999,24.6325,22.821304,198957600,0.016192244224422447,24.51758406579539,24.537435265885293,0.0,-1.0,-1.0,0.0302081437374882,0.0309700272051081,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-12,25.137501,25.172501,24.709999,24.99,23.152521,196616800,0.014513346188977927,24.639892018940834,24.630474996544095,1.0,0.0,1.0,0.025798602992635977,0.027356704727151748,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-13,25.08,25.297501,24.325001,24.3475,22.557264,249758400,-0.0257102841136454,24.572868244491822,24.581662996535144,0.0,-1.0,-1.0,0.02533368546905648,0.026069826652569548,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-14,24.49,25.120001000000002,23.934998999999998,24.879998999999998,23.050606,252680400,0.021870787555190452,24.63688332869519,24.626075219780475,1.0,0.0,1.0,0.025242753024388706,0.02599196820183616,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-15,24.049999,24.4275,23.84,24.282498999999998,22.49704,319335600,-0.02401527427714123,24.568425970569578,24.581015743307507,0.0,-1.0,-1.0,0.02470478021330042,0.025190281983757907,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-19,24.602501,24.6625,23.875,24.165001,22.388184,212350800,-0.004838793568981425,24.49516380234682,24.53218757442754,0.0,-1.0,-1.0,0.02198055233211166,0.023239782497583825,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-20,23.775,24.547501,23.355,24.1975,22.418295,289337600,0.0013448789015155782,24.443787253625583,24.496592651368232,0.0,-1.0,-1.0,0.0198910499726783,0.021763285503245043,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-21,24.264999,24.469998999999998,23.735001,24.075001,22.3048,208646000,-0.005062465130695415,24.382767992875046,24.455554755811928,0.0,-1.0,-1.0,0.018006128291082887,0.020448793582292075,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2016-01-22,24.657498999999998,25.365,24.592501000000002,25.355,23.490686,263202000,0.05316714213220597,24.538041755299183,24.536354427650167,1.0,0.0,1.0,0.02773549515148027,0.02629708067747817,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-01-25,25.379998999999998,25.3825,24.8025,24.860001,23.032082,207178000,-0.019522737132715462,24.58795118389991,24.56337329725515,1.0,0.0,1.0,0.027145462402919655,0.025754694995681723,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-01-26,24.9825,25.219998999999998,24.5175,24.997498999999998,23.159468,300308000,0.00553089277832286,24.649855606556446,24.597253300099347,1.0,0.0,1.0,0.024927215576852603,0.024631406698546916,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-01-27,24.01,24.157498999999998,23.334999,23.355,21.637739,533478800,-0.06570653328158937,24.458291802120346,24.50616042890075,0.0,-1.0,-1.0,0.034322765529412845,0.02984896997158332,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-01-28,23.4475,23.629998999999998,23.0975,23.522499,21.792925,222715200,0.007171868978805396,24.322362258408457,24.43808447636992,0.0,-1.0,-1.0,0.03212319715351592,0.028851323880994706,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-01-29,23.6975,24.334999,23.5875,24.334999,22.545681,257666000,0.03454139800367306,24.324169258762527,24.431325012266655,0.0,-1.0,-1.0,0.033166022525060276,0.02957238629874186,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-02-01,24.1175,24.1775,23.85,24.1075,22.334910999999998,163774000,-0.009348634039393122,24.293600568473526,24.4111371518706,0.0,-1.0,-1.0,0.030856317073901966,0.028600587928858928,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-02-02,23.855,24.01,23.57,23.620001000000002,21.883259,149428800,-0.020221881157316157,24.19965908182172,24.36410099769048,0.0,-1.0,-1.0,0.029383608643083804,0.028014959508088064,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2016-02-03,23.75,24.209999,23.52,24.0875,22.316381,183857200,0.019792505512594927,24.184172223194476,24.348374473059245,0.0,-1.0,-1.0,0.02854878168745119,0.02769541490213672,0.0,-1.0,-1.0,,0.5465878832770552,,,0.0,0.0,0.0
2016-02-04,23.965,24.3325,23.797501,24.15,22.495693,185886800,0.002594706798131785,24.179494115045784,24.337561542526327,0.0,-1.0,-1.0,0.026508640538809535,0.02687981553550864,1.0,0.0,1.0,,0.5139038861606728,,,0.0,0.0,0.0
2016-02-05,24.129998999999998,24.23,23.422501,23.504998999999998,21.894878,185672400,-0.026708115942029043,24.08783979052915,24.29395696418431,0.0,-1.0,-1.0,0.02637733715854331,0.0267525634266147,1.0,0.0,1.0,,0.5436353405309482,,,0.0,0.0,0.0
2016-02-08,23.282498999999998,23.924999,23.26,23.752501000000002,22.125422,216085600,0.01052976007359141,24.042563418911417,24.26665290166286,0.0,-1.0,-1.0,0.025033254896406613,0.026193562161394283,1.0,0.0,1.0,,0.5565466528541951,,,0.0,0.0,0.0
2016-02-09,23.5725,23.985001,23.4825,23.747498999999998,22.120767999999998,177324800,-0.0002105883502543371,24.0029453326379,24.241399261725153,0.0,-1.0,-1.0,0.023277773840861157,0.025502368942183436,1.0,0.0,1.0,,0.5606118700985186,,,0.0,0.0,0.0
2016-02-10,23.98,24.0875,23.525,23.567498999999998,21.953094,169374400,-0.007579745555521433,23.944758718470418,24.209722925609352,0.0,-1.0,-1.0,0.02175139776152027,0.024880026089731614,1.0,0.0,1.0,,0.547410537896981,,,0.0,0.0,0.0
2016-02-11,23.4475,23.68,23.147499,23.424999,21.820358,200298800,-0.006046462545728715,23.8755945241838,24.174023914878305,0.0,-1.0,-1.0,0.020278654959243872,0.024280254033066617,1.0,0.0,1.0,,0.5679730651746215,,,0.0,0.0,0.0
2016-02-12,23.547501,23.625,23.252501000000002,23.497498999999998,21.887894,161405600,0.0030949841235852205,23.82546300316878,24.144193515689718,0.0,-1.0,-1.0,0.01899416516663043,0.02373315631216468,1.0,0.0,1.0,,0.5518671501564036,,,0.0,0.0,0.0
2016-02-16,23.754998999999998,24.2125,23.6525,24.16,22.505007,196231600,0.028194532533015737,23.86968027011405,24.14486996581117,0.0,-1.0,-1.0,0.02065750775346073,0.024049029966778587,1.0,0.0,1.0,,0.5495952976251858,,,0.0,0.0,0.0
2016-02-17,24.1675,24.5525,24.0375,24.530001000000002,22.849664999999998,179452800,0.015314610927152472,23.956720653281725,24.16088698266419,0.0,-1.0,-1.0,0.01980911972037242,0.023750848575705273,1.0,0.0,1.0,,0.5604719896171445,,,0.0,0.0,0.0
2016-02-18,24.709999,24.7225,24.022499,24.065001000000002,22.416515,156084000,-0.018956379170143478,23.97095997253382,24.157007170748138,0.0,-1.0,-1.0,0.02009137778482293,0.023545750475144026,1.0,0.0,1.0,,0.5593237694806048,,,0.0,0.0,0.0
2016-02-19,24.0,24.190001000000002,23.950001,24.01,22.365282,141496800,-0.0022855182927272732,23.976083372389315,24.15121351851049,0.0,-1.0,-1.0,0.018749478442378415,0.023052297150134626,1.0,0.0,1.0,,0.5592725376026015,,,0.0,0.0,0.0
